J.W. von Goethe
Fyodor Dostoyevsky

Marcel Proust

Abbott, Eleanor Hallowell

Abdullah, Achmed

Adams, Andy

Ade, George

Aesop,

Akhmatova, Anna

Alcott, Louisa May

Aldrich, Thomas Bailey

Alger, Horatio

Alighieri, Dante

Altsheler, Joseph A.

Andersen, Hans Christian

Anderson, Sherwood

Andreyev, Leonid

Angelou, Maya

Anonymous,

Appleton, Victor

Aristotle,

Arthur, T.S.

Asbjornsen, Peter

Asimov, Isaac

Assis, Joaquim Maria Machado de

Atherton, Gertrude

Atwood, Margaret

Auden, W.H.

Aumonier, Stacy

Austen, Jane

Bai, Li

Baldwin, James

Ballou, Sullivan

Balzac, Honore de

Barbour, Ralph Henry

Barr, Robert

Barrie, James M.

Barton, Clara

Basho, Matsuo

Bastiat, Frédéric

Bates, Katharine

Baum, L. Frank

Beach, Rex Ellingwood

Bell, Nancy

Bellamy, Francis

Bellamy, Edward

Bennett, Arnold

Benson, Robert Hugh

Benson, Edward

beresford, John

Berlin, Irving

Bierce, Ambrose

Bjørnson, Bjørnstjerne

Blackmore, R. D.

Blackwood, Algernon

Blaisdell, Albert

Blake, William

Boccaccio, Givoanni

Boswell, James

Bradbury, Ray

Brady, Loretta

Brittain, Vera

Bronte, Charlotte

Bronte, Emily

Brown, Fredric

Browning, Robert

Browning, Elizabeth

Bryant, William

Buck, Pearl

Bunin, Ivan

Bunner, Henry

Bunyan, John

Burnett, Frances Hodgson

Burns, Robert

Burr, Amelia

Burroughs, Edgar Rice

Butler, Ellis

Byron, Lord

Capote, Truman

Carroll, Lewis

Carryl, Guy

Cather, Willa

Cavendish, Margaret

Cervantes, Miguel de

Chambers, Robert

Chambers, George F.

Chaucer, Geoffrey

Chekhov, Anton

Chesnutt, Charles W.

Chesterton, G.K.

Chittenden, Gerald

Chopin, Kate

Christie, Agatha

Clarke, Marcus

Cohan, George

Coleridge, Samuel

Coleridge, Sara

Collins, William Wilkie

Collodi, Carlo

Comer, Cornelia

Confucius,

Connell, Richard

Conrad, Joseph

Cooke, Grace MacGowan

Cooper, James Fenimore

Crane, Stephen

Crevecoeur, J. Hector St. John de

Crompton, Richmal

Dahl, Roald

Davis, Richard Harding

Defoe, Daniel

Dell, Ethel M.

De Quincey, Thomas

De Vere, Aubrey

Dick, Philip

Dickens, Charles

Dickinson, Emily

Donahey, William

Donne, John

Dos Passos, John

Dostoevsky, Fyodor

Douglass, Frederick

Dowson, Ernest

Doyle, Sir Arthur Conan

Dreiser, Theodore

Du Bois, W.E.B.

Dumas, Alexandre

Dumas fils, Alexandre

Dunbar, Paul Laurence

Dunbar-Nelson, Alice

Dyer, Walter

Edwards, Jonathan

Edwards, Amelia Ann Blanford

Eliot, George
